invoice_number,vendor_name,address,issued_date,due_date,invoice_status,product_name,quantity,unit_price
24-2023-06-22-Co,Company D,Nigeria,2023-06-22,2023-07-09,Overdue,Web Development,1,2391.33
63-2023-02-08-Co,Company D,El Salvador,2023-02-08,2023-03-03,Pending,UI/UX Design,1,778.38
2-2023-01-20-Co,Company A,Belgium,2023-01-20,2023-02-15,Paid,UI/UX Design,1,483.82
78-2022-07-15-Co,Company D,Kiribati,2022-07-15,2022-08-08,Pending,Mobile App Development,1,3953.41
64-2022-09-26-Co,Company D,Pakistan,2022-09-26,2022-10-07,Paid,UI/UX Design,1,543.7
96-2022-10-20-Co,Company C,Cyprus,2022-10-20,2022-11-13,Overdue,Web Development,1,1343.17
97-2023-01-09-Co,Company D,Barbados,2023-01-09,2023-01-26,Overdue,E-commerce Development,1,1064.18
52-2023-04-20-Co,Company E,Solomon Islands,2023-04-20,2023-05-07,Pending,AI Solution,1,4452.6
4-2023-07-04-Co,Company A,Nicaragua,2023-07-04,2023-07-12,Paid,Mobile App Development,1,2442.98
23-2022-08-06-Co,Company B,Swaziland,2022-08-06,2022-08-30,Pending,E-commerce Development,1,1793.37
10-2023-05-30-Co,Company B,Jersey,2023-05-30,2023-06-12,Overdue,AI Solution,1,8159.65
87-2023-02-11-Co,Company E,Bahamas,2023-02-11,2023-02-28,Overdue,IoT Solution,1,7031.35
68-2023-02-09-Co,Company B,Benin,2023-02-09,2023-03-01,Overdue,E-commerce Development,1,3359.14
10-2022-12-23-Co,Company C,Guinea-Bissau,2022-12-23,2023-01-21,Paid,Web Development,1,2916.68
94-2022-07-22-Co,Company B,San Marino,2022-07-22,2022-08-03,Pending,IoT Solution,1,3646.13
4-2022-11-17-Co,Company B,Ecuador,2022-11-17,2022-12-09,Overdue,IoT Solution,1,6644.09
46-2022-08-29-Co,Company C,Holy See (Vatican City State),2022-08-29,2022-09-18,Overdue,Web Development,1,1810.78
91-2023-07-06-Co,Company B,Bangladesh,2023-07-06,2023-07-17,Pending,IoT Solution,1,7919.06
24-2023-04-24-Co,Company C,Heard Island and McDonald Islands,2023-04-24,2023-05-09,Overdue,AI Solution,1,5060.75
9-2022-12-10-Co,Company E,Gambia,2022-12-10,2023-01-02,Overdue,AI Solution,1,4709.49
85-2023-07-10-Co,Company C,Nepal,2023-07-10,2023-08-05,Pending,IoT Solution,1,5792.69
2-2023-02-28-Co,Company B,Slovenia,2023-02-28,2023-03-17,Paid,Mobile App Development,1,1121.55
95-2023-04-15-Co,Company C,Greece,2023-04-15,2023-05-11,Overdue,IoT Solution,1,7320.68
46-2023-04-07-Co,Company C,Latvia,2023-04-07,2023-04-14,Overdue,IoT Solution,1,7411.28
40-2022-09-21-Co,Company D,Saint Kitts and Nevis,2022-09-21,2022-10-02,Overdue,Web Development,1,1762.39
37-2023-03-28-Co,Company C,Cambodia,2023-03-28,2023-04-20,Pending,Web Development,1,2149.06
49-2022-12-25-Co,Company B,Morocco,2022-12-25,2023-01-08,Paid,E-commerce Development,1,2200.33
93-2023-06-05-Co,Company C,New Caledonia,2023-06-05,2023-06-29,Pending,Web Development,1,1991.62
31-2023-02-02-Co,Company A,Germany,2023-02-02,2023-02-25,Paid,Mobile App Development,1,1910.11
46-2023-05-16-Co,Company A,Singapore,2023-05-16,2023-05-31,Paid,Web Development,1,1155.04
58-2022-12-07-Co,Company B,Gabon,2022-12-07,2022-12-29,Pending,UI/UX Design,1,502.57
81-2022-09-24-Co,Company B,Egypt,2022-09-24,2022-10-24,Pending,AI Solution,1,9749.01
27-2022-08-20-Co,Company B,British Virgin Islands,2022-08-20,2022-09-11,Paid,UI/UX Design,1,380.75
48-2022-07-17-Co,Company B,Chile,2022-07-17,2022-08-09,Paid,Web Development,1,1117.68
42-2023-06-09-Co,Company D,Maldives,2023-06-09,2023-07-08,Paid,Mobile App Development,1,4156.1
97-2023-05-20-Co,Company D,Mozambique,2023-05-20,2023-05-31,Paid,Mobile App Development,1,2385.74
11-2022-07-28-Co,Company E,Gibraltar,2022-07-28,2022-08-23,Overdue,AI Solution,1,7387.93
84-2022-10-14-Co,Company B,Timor-Leste,2022-10-14,2022-11-06,Pending,IoT Solution,1,2177.23
55-2023-03-20-Co,Company E,Latvia,2023-03-20,2023-04-08,Overdue,AI Solution,1,7530.87
4-2023-01-04-Co,Company B,Kazakhstan,2023-01-04,2023-01-16,Paid,UI/UX Design,1,663.04
40-2022-09-23-Co,Company B,Italy,2022-09-23,2022-10-14,Pending,UI/UX Design,1,347.31
64-2022-10-21-Co,Company C,Ethiopia,2022-10-21,2022-10-29,Paid,Web Development,1,735.13
53-2022-08-04-Co,Company C,Turks and Caicos Islands,2022-08-04,2022-08-20,Overdue,IoT Solution,1,5074.06
18-2022-09-02-Co,Company E,Mongolia,2022-09-02,2022-09-22,Paid,IoT Solution,1,3282.62
22-2023-03-16-Co,Company E,Nauru,2023-03-16,2023-03-30,Overdue,Mobile App Development,1,1252.25
14-2022-11-23-Co,Company E,Luxembourg,2022-11-23,2022-12-13,Paid,UI/UX Design,1,328.09
32-2022-11-23-Co,Company C,Denmark,2022-11-23,2022-12-16,Paid,UI/UX Design,1,897.58
2-2023-01-21-Co,Company C,British Virgin Islands,2023-01-21,2023-02-13,Overdue,Mobile App Development,1,3701.35
59-2022-09-15-Co,Company C,Canada,2022-09-15,2022-10-06,Paid,AI Solution,1,4323.98
21-2023-05-04-Co,Company E,Senegal,2023-05-04,2023-05-16,Overdue,E-commerce Development,1,1991.95
71-2022-08-15-Co,Company B,Pakistan,2022-08-15,2022-08-24,Paid,E-commerce Development,1,4959.9
72-2023-02-19-Co,Company A,United States Virgin Islands,2023-02-19,2023-03-10,Pending,Web Development,1,2221.35
17-2022-11-22-Co,Company D,Oman,2022-11-22,2022-12-03,Overdue,Mobile App Development,1,1782.24
27-2022-10-04-Co,Company E,Kiribati,2022-10-04,2022-10-21,Paid,Web Development,1,2504.62
33-2023-01-11-Co,Company B,Solomon Islands,2023-01-11,2023-01-23,Pending,UI/UX Design,1,202.27
70-2023-02-07-Co,Company B,Wallis and Futuna,2023-02-07,2023-03-08,Pending,E-commerce Development,1,4445.53
37-2023-03-03-Co,Company D,China,2023-03-03,2023-03-30,Pending,UI/UX Design,1,641.14
45-2023-01-25-Co,Company D,Israel,2023-01-25,2023-02-22,Pending,E-commerce Development,1,2226.47
65-2023-03-10-Co,Company A,Faroe Islands,2023-03-10,2023-04-06,Pending,AI Solution,1,9768.34
79-2023-01-31-Co,Company A,Namibia,2023-01-31,2023-02-26,Pending,E-commerce Development,1,4492.24
25-2023-02-04-Co,Company C,Northern Mariana Islands,2023-02-04,2023-02-20,Overdue,Mobile App Development,1,4166.52
43-2023-03-08-Co,Company C,Zimbabwe,2023-03-08,2023-03-27,Pending,Mobile App Development,1,2422.85
35-2023-01-30-Co,Company A,United Kingdom,2023-01-30,2023-02-06,Overdue,Web Development,1,2307.89
57-2022-08-06-Co,Company C,Niue,2022-08-06,2022-08-25,Pending,AI Solution,1,9245.58
96-2023-02-23-Co,Company C,South Georgia and the South Sandwich Islands,2023-02-23,2023-03-25,Paid,AI Solution,1,7598.78
13-2023-05-23-Co,Company B,Nigeria,2023-05-23,2023-06-10,Paid,Web Development,1,1380.93
54-2022-10-18-Co,Company A,Guadeloupe,2022-10-18,2022-11-06,Overdue,Web Development,1,1136.41
7-2022-12-17-Co,Company A,Colombia,2022-12-17,2022-12-30,Pending,IoT Solution,1,4914.3
81-2022-11-19-Co,Company C,Venezuela,2022-11-19,2022-12-01,Overdue,Web Development,1,2701.78
26-2023-01-18-Co,Company A,Azerbaijan,2023-01-18,2023-02-11,Paid,IoT Solution,1,4945.2
57-2022-09-28-Co,Company D,Jordan,2022-09-28,2022-10-27,Pending,IoT Solution,1,3676.62
17-2022-12-23-Co,Company B,Guam,2022-12-23,2023-01-11,Pending,Web Development,1,1558.59
79-2023-03-14-Co,Company C,Slovenia,2023-03-14,2023-04-13,Overdue,Mobile App Development,1,4124.84
31-2022-11-24-Co,Company E,Uzbekistan,2022-11-24,2022-12-12,Paid,IoT Solution,1,3622.04
62-2022-09-13-Co,Company A,Oman,2022-09-13,2022-09-28,Pending,Web Development,1,1702.84
85-2023-02-07-Co,Company E,Botswana,2023-02-07,2023-03-09,Pending,UI/UX Design,1,744.42
100-2022-12-13-Co,Company C,Greenland,2022-12-13,2022-12-30,Pending,Web Development,1,1333.78
97-2023-02-26-Co,Company C,Saint Vincent and the Grenadines,2023-02-26,2023-03-23,Pending,AI Solution,1,7191.36
75-2022-07-14-Co,Company B,Barbados,2022-07-14,2022-08-02,Overdue,Mobile App Development,1,2385.94
93-2022-12-19-Co,Company E,France,2022-12-19,2023-01-10,Overdue,UI/UX Design,1,732.9
59-2023-01-01-Co,Company D,Norway,2023-01-01,2023-01-26,Overdue,Web Development,1,1080.95
79-2023-02-10-Co,Company B,Barbados,2023-02-10,2023-02-22,Pending,AI Solution,1,4809.2
92-2022-08-06-Co,Company C,Faroe Islands,2022-08-06,2022-08-17,Overdue,E-commerce Development,1,2940.91
5-2023-04-22-Co,Company A,Yemen,2023-04-22,2023-05-22,Pending,Web Development,1,983.57
61-2022-12-27-Co,Company A,Philippines,2022-12-27,2023-01-20,Overdue,E-commerce Development,1,3837.51
7-2023-04-03-Co,Company A,China,2023-04-03,2023-04-18,Pending,Mobile App Development,1,1599.1
49-2023-06-26-Co,Company E,Myanmar,2023-06-26,2023-07-16,Overdue,E-commerce Development,1,2821.24
4-2023-01-06-Co,Company A,Congo,2023-01-06,2023-01-22,Paid,IoT Solution,1,6849.01
40-2023-07-03-Co,Company C,Slovakia (Slovak Republic),2023-07-03,2023-07-23,Overdue,Mobile App Development,1,1852.46
68-2022-08-22-Co,Company E,Lebanon,2022-08-22,2022-09-03,Overdue,E-commerce Development,1,3880.88
37-2022-10-11-Co,Company A,French Southern Territories,2022-10-11,2022-11-06,Pending,AI Solution,1,5283.74
85-2023-04-28-Co,Company A,Timor-Leste,2023-04-28,2023-05-09,Paid,E-commerce Development,1,3123.55
26-2022-09-05-Co,Company D,Jamaica,2022-09-05,2022-09-29,Overdue,Web Development,1,1495.82
14-2023-02-17-Co,Company D,Congo,2023-02-17,2023-02-24,Overdue,E-commerce Development,1,2002.99
48-2023-07-03-Co,Company D,Germany,2023-07-03,2023-07-18,Overdue,UI/UX Design,1,719.95
84-2023-01-26-Co,Company D,Aruba,2023-01-26,2023-02-02,Overdue,E-commerce Development,1,3223.05
4-2022-12-04-Co,Company E,Fiji,2022-12-04,2022-12-27,Overdue,UI/UX Design,1,552.87
80-2022-10-29-Co,Company D,Netherlands,2022-10-29,2022-11-17,Overdue,IoT Solution,1,5988.63
44-2022-08-31-Co,Company C,Portugal,2022-08-31,2022-09-13,Pending,IoT Solution,1,7984.69
49-2023-06-28-Co,Company D,South Georgia and the South Sandwich Islands,2023-06-28,2023-07-06,Overdue,UI/UX Design,1,343.21
44-2022-10-29-Co,Company B,Saint Martin,2022-10-29,2022-11-16,Pending,UI/UX Design,1,266.91
37-2023-04-14-Co,Company D,Solomon Islands,2023-04-14,2023-05-11,Overdue,Mobile App Development,1,1233.75
94-2023-02-19-Co,Company B,Costa Rica,2023-02-19,2023-03-12,Overdue,Web Development,1,1585.72
35-2022-10-16-Co,Company A,Saint Kitts and Nevis,2022-10-16,2022-10-31,Pending,UI/UX Design,1,350.18
2-2023-05-10-Co,Company A,Taiwan,2023-05-10,2023-05-17,Pending,UI/UX Design,1,250.72
82-2022-10-12-Co,Company B,Botswana,2022-10-12,2022-11-03,Pending,Web Development,1,2250.57
11-2022-10-27-Co,Company E,Poland,2022-10-27,2022-11-09,Paid,Mobile App Development,1,3847.74
24-2022-11-30-Co,Company D,Ireland,2022-11-30,2022-12-29,Pending,Web Development,1,2316.65
78-2022-10-15-Co,Company A,Belgium,2022-10-15,2022-11-11,Paid,IoT Solution,1,5982.88
1-2022-11-06-Co,Company C,Ecuador,2022-11-06,2022-11-21,Paid,Web Development,1,1385.38
24-2022-08-06-Co,Company A,Madagascar,2022-08-06,2022-08-16,Paid,Web Development,1,2913.66
18-2023-02-04-Co,Company E,Lao People's Democratic Republic,2023-02-04,2023-02-25,Paid,IoT Solution,1,4534.77
15-2022-08-16-Co,Company B,Bouvet Island (Bouvetoya),2022-08-16,2022-09-06,Pending,Web Development,1,1315.88
90-2023-03-21-Co,Company E,Kyrgyz Republic,2023-03-21,2023-04-08,Overdue,IoT Solution,1,4501.62
84-2023-04-28-Co,Company A,Anguilla,2023-04-28,2023-05-23,Overdue,Mobile App Development,1,2721.59
43-2022-09-17-Co,Company D,Palestinian Territory,2022-09-17,2022-10-03,Overdue,Web Development,1,2915.32
64-2023-01-31-Co,Company C,Egypt,2023-01-31,2023-02-27,Pending,AI Solution,1,6764.08
95-2023-02-13-Co,Company B,Netherlands Antilles,2023-02-13,2023-03-08,Paid,UI/UX Design,1,492.0
43-2023-03-01-Co,Company A,Greenland,2023-03-01,2023-03-29,Paid,AI Solution,1,8466.65
54-2022-12-30-Co,Company B,Liechtenstein,2022-12-30,2023-01-10,Pending,IoT Solution,1,7033.92
41-2022-08-09-Co,Company C,Uganda,2022-08-09,2022-09-01,Pending,AI Solution,1,7807.79
38-2023-02-17-Co,Company A,Macao,2023-02-17,2023-02-24,Overdue,Web Development,1,1513.25
29-2022-11-18-Co,Company E,Wallis and Futuna,2022-11-18,2022-12-02,Paid,Web Development,1,528.51
20-2023-01-05-Co,Company A,South Africa,2023-01-05,2023-01-24,Paid,IoT Solution,1,3604.4
35-2023-03-04-Co,Company E,Guinea-Bissau,2023-03-04,2023-03-31,Pending,E-commerce Development,1,4510.79
48-2022-08-16-Co,Company A,Cuba,2022-08-16,2022-08-27,Paid,E-commerce Development,1,3459.47
11-2022-09-12-Co,Company A,Ecuador,2022-09-12,2022-09-19,Pending,Mobile App Development,1,3555.07
91-2023-06-14-Co,Company D,Dominica,2023-06-14,2023-07-02,Pending,Web Development,1,1957.19
66-2023-04-18-Co,Company E,Montserrat,2023-04-18,2023-04-25,Pending,E-commerce Development,1,1173.44
77-2023-01-22-Co,Company E,Venezuela,2023-01-22,2023-02-06,Pending,UI/UX Design,1,942.11
55-2022-08-24-Co,Company B,Norway,2022-08-24,2022-09-03,Overdue,IoT Solution,1,5086.81
90-2023-01-19-Co,Company D,Colombia,2023-01-19,2023-02-12,Paid,E-commerce Development,1,1493.24
68-2023-04-12-Co,Company B,Jordan,2023-04-12,2023-05-09,Paid,Mobile App Development,1,2837.08
48-2023-02-14-Co,Company E,Iceland,2023-02-14,2023-03-01,Pending,Mobile App Development,1,3861.46
83-2022-12-05-Co,Company B,American Samoa,2022-12-05,2022-12-18,Paid,IoT Solution,1,3024.09
56-2022-09-17-Co,Company C,Cote d'Ivoire,2022-09-17,2022-09-29,Pending,UI/UX Design,1,243.79
44-2022-07-25-Co,Company C,Cyprus,2022-07-25,2022-08-08,Pending,E-commerce Development,1,4437.22
86-2022-12-13-Co,Company B,Switzerland,2022-12-13,2023-01-07,Pending,IoT Solution,1,7705.94
68-2023-06-21-Co,Company C,Liberia,2023-06-21,2023-07-21,Overdue,IoT Solution,1,3202.28
32-2023-04-12-Co,Company C,Tonga,2023-04-12,2023-04-26,Overdue,IoT Solution,1,5838.95
68-2023-02-19-Co,Company A,United States Minor Outlying Islands,2023-02-19,2023-03-01,Pending,Mobile App Development,1,4809.36
35-2022-10-10-Co,Company C,Guadeloupe,2022-10-10,2022-11-04,Paid,E-commerce Development,1,1648.2
76-2022-08-24-Co,Company D,Czech Republic,2022-08-24,2022-09-01,Pending,Web Development,1,1672.86
92-2022-08-11-Co,Company A,Morocco,2022-08-11,2022-09-08,Overdue,Web Development,1,2332.18
44-2023-03-23-Co,Company D,Sudan,2023-03-23,2023-04-19,Pending,E-commerce Development,1,2977.6
44-2023-06-09-Co,Company B,Faroe Islands,2023-06-09,2023-06-26,Overdue,IoT Solution,1,6203.42
67-2023-04-13-Co,Company D,Antigua and Barbuda,2023-04-13,2023-04-28,Paid,IoT Solution,1,2657.99
71-2022-07-23-Co,Company C,Western Sahara,2022-07-23,2022-08-15,Overdue,E-commerce Development,1,1359.17
59-2023-07-01-Co,Company B,Iran,2023-07-01,2023-07-30,Pending,Web Development,1,1304.08
66-2023-04-20-Co,Company E,Bermuda,2023-04-20,2023-05-06,Paid,E-commerce Development,1,3448.55
97-2022-11-14-Co,Company A,Montenegro,2022-11-14,2022-12-09,Paid,Web Development,1,785.7
25-2022-11-05-Co,Company D,Bhutan,2022-11-05,2022-11-12,Paid,E-commerce Development,1,1262.62
38-2023-06-29-Co,Company B,Cambodia,2023-06-29,2023-07-20,Overdue,Web Development,1,2238.5
36-2023-04-25-Co,Company E,Benin,2023-04-25,2023-05-07,Overdue,E-commerce Development,1,4206.88
28-2023-01-20-Co,Company D,Panama,2023-01-20,2023-02-14,Paid,Mobile App Development,1,4069.93
46-2022-09-25-Co,Company D,Finland,2022-09-25,2022-10-08,Pending,Web Development,1,1565.3
41-2023-05-03-Co,Company E,Serbia,2023-05-03,2023-05-24,Overdue,E-commerce Development,1,2911.18
71-2023-03-16-Co,Company C,Azerbaijan,2023-03-16,2023-03-23,Pending,E-commerce Development,1,1317.02
74-2023-03-15-Co,Company B,Guinea-Bissau,2023-03-15,2023-03-26,Pending,IoT Solution,1,6988.27
10-2022-11-20-Co,Company B,Georgia,2022-11-20,2022-12-02,Overdue,IoT Solution,1,3829.03
88-2023-02-13-Co,Company E,United States of America,2023-02-13,2023-03-11,Paid,IoT Solution,1,6662.09
15-2023-02-15-Co,Company A,Kenya,2023-02-15,2023-03-08,Pending,IoT Solution,1,7981.09
37-2022-09-05-Co,Company B,Kuwait,2022-09-05,2022-09-25,Pending,IoT Solution,1,4303.51
77-2023-07-01-Co,Company B,Norfolk Island,2023-07-01,2023-07-25,Overdue,E-commerce Development,1,1637.62
14-2022-10-13-Co,Company C,Zimbabwe,2022-10-13,2022-10-31,Pending,E-commerce Development,1,1661.49
90-2023-04-06-Co,Company A,Togo,2023-04-06,2023-04-30,Paid,Web Development,1,2070.69
100-2023-05-13-Co,Company B,Honduras,2023-05-13,2023-05-20,Overdue,IoT Solution,1,2064.52
40-2023-05-31-Co,Company E,Kenya,2023-05-31,2023-06-28,Overdue,Web Development,1,1414.75
60-2022-10-07-Co,Company A,Lebanon,2022-10-07,2022-10-15,Overdue,Mobile App Development,1,4753.75
17-2022-08-08-Co,Company D,Portugal,2022-08-08,2022-08-30,Overdue,UI/UX Design,1,859.23
74-2023-04-04-Co,Company A,Netherlands,2023-04-04,2023-05-01,Overdue,UI/UX Design,1,673.04
4-2023-01-30-Co,Company E,Philippines,2023-01-30,2023-02-09,Overdue,UI/UX Design,1,249.72
9-2022-11-18-Co,Company B,North Macedonia,2022-11-18,2022-12-02,Overdue,Mobile App Development,1,4745.52
11-2023-03-22-Co,Company C,Antarctica (the territory South of 60 deg S),2023-03-22,2023-03-30,Overdue,AI Solution,1,4291.86
51-2023-04-23-Co,Company A,Cameroon,2023-04-23,2023-05-23,Overdue,E-commerce Development,1,3070.63
46-2023-03-09-Co,Company E,Trinidad and Tobago,2023-03-09,2023-03-18,Pending,Web Development,1,2324.65
34-2022-11-14-Co,Company B,Swaziland,2022-11-14,2022-12-02,Paid,Web Development,1,1093.25
73-2022-11-11-Co,Company E,Lebanon,2022-11-11,2022-11-26,Overdue,UI/UX Design,1,316.56
71-2022-11-15-Co,Company A,Italy,2022-11-15,2022-12-11,Overdue,Mobile App Development,1,4126.61
45-2023-04-28-Co,Company C,Croatia,2023-04-28,2023-05-12,Paid,Mobile App Development,1,3220.47
41-2023-02-03-Co,Company D,Northern Mariana Islands,2023-02-03,2023-03-03,Overdue,Mobile App Development,1,2491.98
22-2022-10-11-Co,Company A,Heard Island and McDonald Islands,2022-10-11,2022-10-24,Pending,Mobile App Development,1,2412.41
18-2023-03-28-Co,Company A,Jamaica,2023-03-28,2023-04-22,Paid,UI/UX Design,1,780.66
41-2022-09-01-Co,Company B,Slovakia (Slovak Republic),2022-09-01,2022-09-29,Pending,IoT Solution,1,7687.73
93-2023-01-30-Co,Company E,Australia,2023-01-30,2023-02-23,Overdue,IoT Solution,1,4585.55
5-2023-02-06-Co,Company C,Nicaragua,2023-02-06,2023-03-05,Paid,E-commerce Development,1,1959.99
26-2023-02-28-Co,Company C,Egypt,2023-02-28,2023-03-25,Overdue,UI/UX Design,1,369.81
24-2023-07-06-Co,Company D,Cook Islands,2023-07-06,2023-07-28,Pending,Web Development,1,879.72
75-2023-04-30-Co,Company B,France,2023-04-30,2023-05-07,Overdue,Web Development,1,2605.48
46-2023-01-03-Co,Company E,French Southern Territories,2023-01-03,2023-01-17,Overdue,Mobile App Development,1,3046.03
60-2023-04-02-Co,Company A,Finland,2023-04-02,2023-04-14,Pending,E-commerce Development,1,3720.93
52-2023-01-01-Co,Company C,Haiti,2023-01-01,2023-01-13,Overdue,E-commerce Development,1,4967.38
92-2022-10-06-Co,Company D,Sri Lanka,2022-10-06,2022-10-15,Overdue,Mobile App Development,1,2246.53
31-2023-06-25-Co,Company C,Burundi,2023-06-25,2023-07-17,Overdue,E-commerce Development,1,2081.71
95-2022-10-08-Co,Company E,Samoa,2022-10-08,2022-10-15,Pending,IoT Solution,1,7783.02
1-2022-07-19-Co,Company D,India,2022-07-19,2022-07-30,Pending,IoT Solution,1,4570.76
99-2022-12-27-Co,Company E,Georgia,2022-12-27,2023-01-08,Paid,Mobile App Development,1,4758.69
78-2022-11-11-Co,Company C,Korea,2022-11-11,2022-12-04,Pending,IoT Solution,1,6290.33
17-2022-08-24-Co,Company B,Bulgaria,2022-08-24,2022-09-12,Paid,Mobile App Development,1,2704.65
52-2023-03-23-Co,Company E,Saint Lucia,2023-03-23,2023-04-21,Overdue,Mobile App Development,1,1574.61
24-2023-01-03-Co,Company C,Bouvet Island (Bouvetoya),2023-01-03,2023-01-11,Overdue,IoT Solution,1,7024.15
42-2023-04-26-Co,Company D,Yemen,2023-04-26,2023-05-05,Paid,E-commerce Development,1,3538.95
68-2022-10-07-Co,Company A,Uganda,2022-10-07,2022-11-05,Overdue,AI Solution,1,7108.01
72-2022-10-10-Co,Company E,Saint Kitts and Nevis,2022-10-10,2022-10-26,Paid,AI Solution,1,4217.39
90-2022-10-08-Co,Company D,Swaziland,2022-10-08,2022-10-22,Paid,UI/UX Design,1,890.84
24-2022-12-01-Co,Company C,Armenia,2022-12-01,2022-12-29,Pending,Mobile App Development,1,2324.35
5-2023-04-06-Co,Company D,Belgium,2023-04-06,2023-04-18,Paid,Mobile App Development,1,2071.67
65-2023-05-22-Co,Company E,Mayotte,2023-05-22,2023-06-17,Paid,UI/UX Design,1,352.71
99-2023-01-18-Co,Company A,Ghana,2023-01-18,2023-02-09,Paid,Web Development,1,1438.29
39-2023-06-11-Co,Company E,Argentina,2023-06-11,2023-06-18,Overdue,UI/UX Design,1,380.94
83-2022-12-30-Co,Company A,Iceland,2022-12-30,2023-01-25,Overdue,Web Development,1,2408.27
65-2023-03-19-Co,Company E,Antigua and Barbuda,2023-03-19,2023-04-02,Pending,IoT Solution,1,6612.22
62-2023-01-25-Co,Company B,Cayman Islands,2023-01-25,2023-02-08,Paid,Mobile App Development,1,1006.74
68-2023-05-30-Co,Company C,Yemen,2023-05-30,2023-06-20,Paid,UI/UX Design,1,501.46
48-2023-01-15-Co,Company D,New Zealand,2023-01-15,2023-02-13,Pending,IoT Solution,1,4631.46
10-2022-08-15-Co,Company B,Kuwait,2022-08-15,2022-09-06,Overdue,UI/UX Design,1,698.96
32-2023-03-31-Co,Company E,Guam,2023-03-31,2023-04-22,Overdue,E-commerce Development,1,2217.53
73-2022-08-19-Co,Company C,Antigua and Barbuda,2022-08-19,2022-09-02,Overdue,E-commerce Development,1,4675.82
44-2023-02-06-Co,Company E,Oman,2023-02-06,2023-02-25,Pending,E-commerce Development,1,4453.58
24-2022-11-19-Co,Company B,Ghana,2022-11-19,2022-11-30,Overdue,IoT Solution,1,7767.39
69-2023-06-10-Co,Company B,South Georgia and the South Sandwich Islands,2023-06-10,2023-06-21,Overdue,UI/UX Design,1,862.21
33-2023-03-29-Co,Company E,Czech Republic,2023-03-29,2023-04-25,Pending,Mobile App Development,1,2349.47
68-2022-08-08-Co,Company B,Congo,2022-08-08,2022-08-22,Paid,UI/UX Design,1,318.36
35-2022-12-24-Co,Company B,British Virgin Islands,2022-12-24,2022-12-31,Overdue,E-commerce Development,1,1540.28
90-2022-09-23-Co,Company B,Cayman Islands,2022-09-23,2022-10-13,Pending,AI Solution,1,6150.65
72-2023-02-08-Co,Company E,Poland,2023-02-08,2023-03-10,Paid,E-commerce Development,1,4839.03
75-2023-06-22-Co,Company B,Kazakhstan,2023-06-22,2023-07-16,Pending,Mobile App Development,1,2945.12
78-2023-04-24-Co,Company C,Timor-Leste,2023-04-24,2023-05-17,Paid,Mobile App Development,1,1302.11
